City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
263,bandarbeyla,9.4942,50.8122,33.77,45,100,10.95,SO,1720093073
264,kudat,6.8837,116.8477,28.96,79,72,0.51,MY,1720093078
265,saint-pierre,-21.3393,55.4781,24.82,61,100,3.6,RE,1720092801
266,kichmengskiy gorodok,59.9816,45.7854,27.87,40,41,3.31,RU,1720093080
267,camalu,30.85,-116.0667,19.34,86,7,1.27,MX,1720093082
268,huntsville,34.7304,-86.5861,24.7,89,0,3.13,US,1720093083
269,shambu,9.5667,37.1,17.15,76,78,1.46,ET,1720093084
270,mantua,45.1667,10.7833,25.55,61,5,1.34,IT,1720092874
271,island harbour,50.724,-1.2758,18.17,56,56,2.24,GB,1720093087
272,mazamari,-11.3258,-74.5308,21.45,89,98,0.68,PE,1720093088
273,madalena,41.2162,-8.3345,31.84,43,5,0.72,PT,1720093089
274,qamdo,31.1667,97.2333,11.85,66,63,0.48,CN,1720093091
275,heishan,41.6892,122.1128,21.14,90,100,4.3,CN,1720093092
276,extrema,-22.8547,-46.3183,20.75,49,0,1.5,BR,1720093097
277,pleiku,13.9833,108.0,20.88,99,100,1.74,VN,1720092829
278,gadzhiyevo,69.2551,33.3362,10.32,73,100,1.62,RU,1720093100
279,ballito,-29.539,31.2144,21.08,49,2,8.75,ZA,1720093101
280,ocean shores,46.9737,-124.1563,11.24,94,100,1.54,US,1720093102
281,tibu,8.639,-72.7358,24.23,97,97,0.46,CO,1720093104
282,merizo village,13.2658,144.6691,27.45,88,33,4.88,GU,1720093105
283,juneau,58.3019,-134.4197,9.91,97,100,0.0,US,1720093107
284,petropavlovsk-kamchatsky,53.0452,158.6483,8.33,100,100,2.0,RU,1720093108
285,cidreira,-30.1811,-50.2056,12.83,92,100,1.24,BR,1720093109
286,skovorodino,53.9833,123.9167,21.57,69,78,2.7,RU,1720093110
287,champerico,14.3,-91.9167,24.23,82,17,3.09,GT,1720093111
288,woodward,36.4337,-99.3904,20.51,83,0,1.54,US,1720093113
289,kurchum,48.5722,83.6542,17.69,78,100,7.12,KZ,1720093114
290,badr hunayn,23.7829,38.7905,39.89,11,1,8.03,SA,1720092932
291,andergrove,-21.0833,149.1833,19.16,81,57,9.38,AU,1720093116
292,villa dolores,-31.9459,-65.1896,8.1,57,73,0.92,AR,1720093118
293,griffith,41.5284,-87.4237,21.15,87,99,1.23,US,1720093119
294,san patricio,28.017,-97.5169,26.74,88,6,2.62,US,1720093120
295,as sulayyil,20.4607,45.5779,43.14,7,0,7.15,SA,1720093121
296,el aouinet,35.8669,7.8867,29.12,23,0,6.72,DZ,1720093122
297,marivan,35.5219,46.176,34.87,10,0,3.95,IR,1720093124
298,abra pampa,-22.7205,-65.697,4.68,11,0,0.41,AR,1720093125
299,suva,-18.1416,178.4415,23.71,100,40,1.03,FJ,1720093034
300,mareeba,-17.0,145.4333,20.21,87,50,0.92,AU,1720093127
301,khategaon,22.6,76.9167,27.81,83,99,2.39,IN,1720093129
302,hasaki,35.7333,140.8333,26.22,88,3,3.61,JP,1720093130
303,fernie,49.5,-115.0687,12.11,93,17,1.69,CA,1720093131
304,cururupu,-1.8283,-44.8683,27.41,82,99,1.97,BR,1720093132
305,tommot,58.9564,126.2925,18.16,76,61,1.83,RU,1720093133
306,brookings,44.3114,-96.7984,18.17,97,100,0.0,US,1720093135
307,ancud,-41.8697,-73.8203,3.34,73,52,2.1,CL,1720093136
308,remire-montjoly,4.9167,-52.2667,26.02,94,40,1.54,GF,1720093137
309,kousseri,12.0769,15.0306,26.98,74,20,4.63,CM,1720093140
310,lagawe,16.8,121.1192,23.45,95,100,0.8,PH,1720093141
311,ongjin,37.9347,125.3619,22.91,97,98,7.52,KP,1720093143
312,usinsk,65.9939,57.5281,23.18,54,16,13.28,RU,1720093144
313,dunda,-8.1167,34.25,31.08,26,26,1.54,TZ,1720093145
314,khorixas,-20.3667,14.9667,29.49,7,0,2.75,NA,1720093146
315,diveyevo,55.0433,43.2418,29.88,52,80,1.07,RU,1720093148
316,kristiansund,63.1115,7.732,20.36,40,0,4.12,NO,1720093150
317,majuro,7.0897,171.3803,28.18,73,98,3.34,MH,1720093151
318,san fernando,15.0286,120.6898,25.85,89,100,3.11,PH,1720093152
319,sinop,41.7711,34.8709,24.24,66,10,3.98,TR,1720093065
320,mejit,10.2753,170.8646,27.6,80,100,5.94,MH,1720093155
321,klaksvik,62.2266,-6.589,12.51,82,97,3.69,FO,1720093156
322,chibougamau,49.9168,-74.3659,16.79,94,100,4.12,CA,1720093157
323,tandalti,13.0167,31.8667,36.61,28,20,2.78,SD,1720093159
324,tralee,52.2704,-9.7026,15.14,72,75,7.72,IE,1720093160
325,tavda,58.0425,65.2726,29.12,64,46,0.93,RU,1720093161
326,gagliano del capo,39.8442,18.3695,25.68,61,40,3.6,IT,1720092953
327,auki,-8.7676,160.7034,25.15,82,99,2.94,SB,1720093164
328,parabel',58.6978,81.4825,14.48,85,100,3.68,RU,1720093165
329,pyinmana,19.7333,96.2167,26.11,92,92,2.87,MM,1720093166
330,peterhead,57.5058,-1.7981,14.22,73,97,9.98,GB,1720092876
331,cockburn town,21.4612,-71.1419,28.23,80,74,6.94,TC,1720093169
332,surgana,20.5667,73.6167,26.35,81,88,6.82,IN,1720093170
333,novyy urengoy,66.0833,76.6333,26.59,38,37,3.12,RU,1720093171
334,collecchio,44.754,10.2184,23.69,57,20,1.03,IT,1720093172
335,santa ana de yacuma,-13.75,-65.4333,18.97,94,4,0.0,BO,1720093174
336,tosontsengel,48.7567,98.2839,19.79,42,100,3.95,MN,1720093175
337,copala,16.65,-98.9833,24.66,86,80,1.67,MX,1720093176
338,atherton,53.5237,-2.4935,14.9,68,36,4.92,GB,1720093177
339,yasothon,15.75,104.1333,28.41,69,99,4.44,TH,1720093154
340,hithadhoo,-0.6,73.0833,29.11,74,100,3.47,MV,1720093180
341,rikaze,29.25,88.8833,19.91,40,98,1.53,CN,1720093037
342,sorochinsk,52.4338,53.1583,32.61,39,17,2.67,RU,1720093182
343,charters towers,-20.1,146.2667,19.17,75,100,3.72,AU,1720092641
344,kamloops,50.6665,-120.3192,14.04,69,20,2.06,CA,1720093186
345,aegina,37.7467,23.4275,28.92,71,42,6.21,GR,1720093188
346,namibe,-15.1961,12.1522,24.91,50,27,5.04,AO,1720093039
347,llallagua,-18.4167,-66.6333,4.93,15,3,1.99,BO,1720093197
348,fort-shevchenko,44.5086,50.263,31.35,39,40,0.47,KZ,1720093199
349,port saint john's,-31.6229,29.5448,21.58,32,4,7.57,ZA,1720093200
350,curup,-3.4667,102.5333,21.82,99,85,0.55,ID,1720093184
351,worland,44.0169,-107.9554,8.27,87,75,2.57,US,1720093203
352,eyl,7.9803,49.8164,34.41,42,100,11.44,SO,1720093204
353,taft,31.7471,54.2088,39.97,10,20,2.06,IR,1720093206
354,banda aceh,5.5577,95.3222,27.82,77,96,3.72,ID,1720092650
355,abnub,27.2696,31.1511,42.12,8,0,4.19,EG,1720093208
356,macara,-4.3833,-79.95,18.77,83,39,0.9,EC,1720093209
357,pangody,65.85,74.4859,26.59,42,61,2.97,RU,1720093210
358,alofi,-19.0595,-169.9187,24.68,80,57,6.53,NU,1720092945
359,st martin,50.3698,-4.4473,16.85,68,92,8.03,GB,1720093213
360,khanbari,27.3747,87.2039,24.82,91,100,0.46,NP,1720093214
361,montepuez,-13.1256,38.9997,31.31,28,60,1.16,MZ,1720093215
